Images/image_0001.jpg, red, Objects (id: bounding-box centroid area mean-color):
Images/_DSC7315.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.6 4.21745e+07 srgb(0,0,0)
  6: 29x31+4773+943 4787.0,957.9 682 srgb(255,255,255)
  9: 29x31+3984+1214 3997.9,1229.1 649 srgb(255,255,255)
  14: 27x26+4745+1662 4758.0,1673.6 508 srgb(255,255,255)
  15: 26x26+5026+1665 5038.8,1677.4 483 srgb(255,255,255)
  22: 28x23+4905+2081 4918.3,2092.1 482 srgb(255,255,255)
  12: 10x12+5137+1605 5141.8,1610.7 85 srgb(255,255,255)
Images/_DSC7315.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.2,2651.8 4.21646e+07 srgb(0,0,0)
  104: 36x36+5058+1972 5075.0,1988.9 924 srgb(0,0,0)
  100: 37x35+5465+1787 5482.7,1804.2 877 srgb(0,0,0)
  40: 35x35+5310+1482 5326.7,1498.7 854 srgb(0,0,0)
  17: 33x35+4186+1040 4201.8,1056.9 830 srgb(0,0,0)
  139: 35x32+5628+2401 5645.2,2416.9 783 srgb(0,0,0)
  56: 35x30+5413+1627 5431.4,1641.6 739 srgb(0,0,0)
  103: 47x47+5052+1965 5075.1,1988.1 721 srgb(255,255,255)
  22: 42x43+4996+1105 5014.2,1127.3 715 srgb(255,255,255)
  98: 46x45+5461+1782 5483.8,1804.0 692 srgb(255,255,255)
  48: 47x42+5408+1621 5430.7,1640.8 690 srgb(255,255,255)
  9: 41x41+4582+925 4602.0,945.0 678 srgb(255,255,255)
  16: 44x44+4180+1036 4201.3,1057.9 673 srgb(255,255,255)
  39: 47x43+5304+1477 5326.7,1498.5 639 srgb(255,255,255)
  137: 44x42+5624+2397 5644.6,2418.0 638 srgb(255,255,255)
  19: 41x40+5104+1093 5125.2,1112.6 637 srgb(255,255,255)
  24: 29x32+5004+1111 5017.7,1125.0 582 srgb(0,0,0)
  20: 27x30+5111+1097 5123.1,1111.8 573 srgb(0,0,0)
  11: 26x29+4589+930 4601.8,943.9 543 srgb(0,0,0)
  37: 9x9+157+1434 160.9,1438.0 67 srgb(255,255,255)
Images/_DSC7315.JPG, red, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.6,2651.5 4.21729e+07 srgb(0,0,0)
  32: 41x38+2993+1605 3013.5,1623.3 801 srgb(255,255,255)
  55: 40x40+3280+1712 3300.0,1731.7 766 srgb(255,255,255)
  107: 35x36+3279+3832 3296.4,3848.6 752 srgb(255,255,255)
  73: 41x40+3937+2563 3957.5,2583.0 734 srgb(255,255,255)
  74: 27x26+3944+2570 3956.8,2583.2 482 srgb(0,0,0)
  56: 26x25+3287+1720 3299.1,1731.7 418 srgb(0,0,0)
  34: 22x24+3003+1611 3013.2,1621.8 354 srgb(0,0,0)
  108: 18x19+3287+3841 3296.4,3850.3 214 srgb(0,0,0)
Images/_DSC7315.JPG, green, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.4,2652.4 4.21453e+07 srgb(0,0,0)
  55: 47x44+3079+805 3101.3,826.9 1252 srgb(255,255,255)
  208: 40x40+5624+2200 5644.1,2219.4 1247 srgb(255,255,255)
  25: 40x43+3412+665 3431.9,685.9 1244 srgb(255,255,255)
  232: 44x40+4920+2364 4942.0,2382.8 1236 srgb(255,255,255)
  151: 40x42+5370+1806 5389.9,1827.0 1223 srgb(255,255,255)
  84: 43x44+2916+1030 2937.8,1051.2 1219 srgb(255,255,255)
  190: 47x46+3231+2073 3254.3,2096.2 1205 srgb(255,255,255)
  26: 41x44+3831+672 3850.5,693.5 1195 srgb(255,255,255)
  204: 42x44+4590+2168 4610.4,2189.9 1194 srgb(255,255,255)
  269: 41x41+2529+2825 2548.5,2845.4 1192 srgb(255,255,255)
  20: 41x41+3584+632 3603.8,652.2 1189 srgb(255,255,255)
  76: 40x40+3345+944 3364.2,963.1 1185 srgb(255,255,255)
  94: 41x45+3908+1112 3927.6,1134.4 1173 srgb(255,255,255)
  69: 39x40+4710+861 4728.7,880.3 1160 srgb(255,255,255)
  46: 38x40+3240+728 3258.4,747.6 1153 srgb(255,255,255)
  175: 40x40+5607+2017 5626.3,2036.5 1140 srgb(255,255,255)
  181: 45x42+2450+2042 2471.8,2063.6 1131 srgb(255,255,255)
  210: 41x40+4320+2206 4339.8,2225.2 1126 srgb(255,255,255)
  146: 43x42+2983+1784 3004.3,1805.2 1122 srgb(255,255,255)
  158: 37x37+5580+1840 5597.9,1857.7 1077 srgb(255,255,255)
  74: 35x39+4770+939 4787.0,958.0 1051 srgb(0,0,0)
  101: 34x39+3982+1210 3998.3,1228.9 982 srgb(0,0,0)
  127: 34x34+5022+1662 5038.3,1678.7 876 srgb(0,0,0)
  125: 34x34+4742+1657 4758.1,1673.0 866 srgb(0,0,0)
  71: 34x34+3052+912 3068.2,929.2 851 srgb(255,255,255)
  73: 45x46+4765+936 4787.1,958.7 465 srgb(255,255,255)
  100: 44x46+3977+1206 3998.2,1228.2 454 srgb(255,255,255)
  195: 26x23+3242+2085 3254.3,2096.3 378 srgb(0,0,0)
  191: 41x40+4899+2073 4920.4,2091.7 315 srgb(255,255,255)
  126: 40x40+5019+1659 5039.0,1678.0 314 srgb(255,255,255)
  185: 21x24+2463+2052 2472.5,2061.8 285 srgb(0,0,0)
  124: 40x39+4738+1654 4758.3,1673.0 266 srgb(255,255,255)
  121: 35x34+5125+1594 5142.6,1611.9 236 srgb(255,255,255)
  148: 20x20+2993+1795 3003.1,1804.2 223 srgb(0,0,0)
  95: 22x18+3919+1123 3928.9,1133.4 197 srgb(0,0,0)
  59: 19x17+3091+819 3100.0,827.1 152 srgb(0,0,0)
  205: 15x15+4603+2184 4610.5,2191.0 140 srgb(0,0,0)
  87: 17x14+2928+1044 2936.2,1051.0 133 srgb(0,0,0)
  235: 15x13+4934+2377 4940.7,2382.6 98 srgb(0,0,0)
  214: 11x15+4335+2217 4339.8,2225.2 94 srgb(0,0,0)
  34: 13x11+3846+689 3851.3,693.7 76 srgb(0,0,0)
  22: 9x8+3601+650 3604.2,653.1 41 srgb(0,0,0)
Images/_DSC7315.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.6 4.21745e+07 srgb(0,0,0)
  6: 29x31+4773+943 4787.0,957.9 682 srgb(255,255,255)
  9: 29x31+3984+1214 3997.9,1229.1 649 srgb(255,255,255)
  14: 27x26+4745+1662 4758.0,1673.6 508 srgb(255,255,255)
  15: 26x26+5026+1665 5038.8,1677.4 483 srgb(255,255,255)
  22: 28x23+4905+2081 4918.3,2092.1 482 srgb(255,255,255)
  12: 10x12+5137+1605 5141.8,1610.7 85 srgb(255,255,255)
Images/_DSC7315.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.2,2651.8 4.21646e+07 srgb(0,0,0)
  104: 36x36+5058+1972 5075.0,1988.9 924 srgb(0,0,0)
  100: 37x35+5465+1787 5482.7,1804.2 877 srgb(0,0,0)
  40: 35x35+5310+1482 5326.7,1498.7 854 srgb(0,0,0)
  17: 33x35+4186+1040 4201.8,1056.9 830 srgb(0,0,0)
  139: 35x32+5628+2401 5645.2,2416.9 783 srgb(0,0,0)
  56: 35x30+5413+1627 5431.4,1641.6 739 srgb(0,0,0)
  103: 47x47+5052+1965 5075.1,1988.1 721 srgb(255,255,255)
  22: 42x43+4996+1105 5014.2,1127.3 715 srgb(255,255,255)
  98: 46x45+5461+1782 5483.8,1804.0 692 srgb(255,255,255)
  48: 47x42+5408+1621 5430.7,1640.8 690 srgb(255,255,255)
  9: 41x41+4582+925 4602.0,945.0 678 srgb(255,255,255)
  16: 44x44+4180+1036 4201.3,1057.9 673 srgb(255,255,255)
  39: 47x43+5304+1477 5326.7,1498.5 639 srgb(255,255,255)
  137: 44x42+5624+2397 5644.6,2418.0 638 srgb(255,255,255)
  19: 41x40+5104+1093 5125.2,1112.6 637 srgb(255,255,255)
  24: 29x32+5004+1111 5017.7,1125.0 582 srgb(0,0,0)
  20: 27x30+5111+1097 5123.1,1111.8 573 srgb(0,0,0)
  11: 26x29+4589+930 4601.8,943.9 543 srgb(0,0,0)
  37: 9x9+157+1434 160.9,1438.0 67 srgb(255,255,255)
Images/_DSC7315.JPG, red, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.6,2651.5 4.21729e+07 srgb(0,0,0)
  32: 41x38+2993+1605 3013.5,1623.3 801 srgb(255,255,255)
  55: 40x40+3280+1712 3300.0,1731.7 766 srgb(255,255,255)
  107: 35x36+3279+3832 3296.4,3848.6 752 srgb(255,255,255)
  73: 41x40+3937+2563 3957.5,2583.0 734 srgb(255,255,255)
  74: 27x26+3944+2570 3956.8,2583.2 482 srgb(0,0,0)
  56: 26x25+3287+1720 3299.1,1731.7 418 srgb(0,0,0)
  34: 22x24+3003+1611 3013.2,1621.8 354 srgb(0,0,0)
  108: 18x19+3287+3841 3296.4,3850.3 214 srgb(0,0,0)
Images/_DSC7315.JPG, green, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.4,2652.4 4.21453e+07 srgb(0,0,0)
  55: 47x44+3079+805 3101.3,826.9 1252 srgb(255,255,255)
  208: 40x40+5624+2200 5644.1,2219.4 1247 srgb(255,255,255)
  25: 40x43+3412+665 3431.9,685.9 1244 srgb(255,255,255)
  232: 44x40+4920+2364 4942.0,2382.8 1236 srgb(255,255,255)
  20: 41x41+3584+632 3603.8,652.3 1230 srgb(255,255,255)
  151: 40x42+5370+1806 5389.9,1827.0 1223 srgb(255,255,255)
  84: 43x44+2916+1030 2937.8,1051.2 1219 srgb(255,255,255)
  190: 47x46+3231+2073 3254.3,2096.2 1205 srgb(255,255,255)
  26: 41x44+3831+672 3850.5,693.5 1195 srgb(255,255,255)
  204: 42x44+4590+2168 4610.4,2189.9 1194 srgb(255,255,255)
  269: 41x41+2529+2825 2548.5,2845.4 1192 srgb(255,255,255)
  76: 40x40+3345+944 3364.2,963.1 1185 srgb(255,255,255)
  94: 41x45+3908+1112 3927.6,1134.4 1173 srgb(255,255,255)
  69: 39x40+4710+861 4728.7,880.3 1160 srgb(255,255,255)
  46: 38x40+3240+728 3258.4,747.6 1153 srgb(255,255,255)
  175: 40x40+5607+2017 5626.3,2036.5 1140 srgb(255,255,255)
  181: 45x42+2450+2042 2471.8,2063.6 1131 srgb(255,255,255)
  210: 41x40+4320+2206 4339.8,2225.2 1126 srgb(255,255,255)
  146: 43x42+2983+1784 3004.3,1805.2 1122 srgb(255,255,255)
  158: 37x37+5580+1840 5597.9,1857.7 1077 srgb(255,255,255)
  74: 35x39+4770+939 4787.0,958.0 1051 srgb(0,0,0)
  101: 34x39+3982+1210 3998.3,1228.9 982 srgb(0,0,0)
  127: 34x34+5022+1662 5038.3,1678.7 876 srgb(0,0,0)
  125: 34x34+4742+1657 4758.1,1673.0 866 srgb(0,0,0)
  71: 34x34+3052+912 3068.2,929.2 851 srgb(255,255,255)
  73: 45x46+4765+936 4787.1,958.7 465 srgb(255,255,255)
  100: 44x46+3977+1206 3998.2,1228.2 454 srgb(255,255,255)
  195: 26x23+3242+2085 3254.3,2096.3 378 srgb(0,0,0)
  191: 41x40+4899+2073 4920.4,2091.7 315 srgb(255,255,255)
  126: 40x40+5019+1659 5039.0,1678.0 314 srgb(255,255,255)
  185: 21x24+2463+2052 2472.5,2061.8 285 srgb(0,0,0)
  124: 40x39+4738+1654 4758.3,1673.0 266 srgb(255,255,255)
  121: 35x34+5125+1594 5142.6,1611.9 236 srgb(255,255,255)
  148: 20x20+2993+1795 3003.1,1804.2 223 srgb(0,0,0)
  95: 22x18+3919+1123 3928.9,1133.4 197 srgb(0,0,0)
  59: 19x17+3091+819 3100.0,827.1 152 srgb(0,0,0)
  205: 15x15+4603+2184 4610.5,2191.0 140 srgb(0,0,0)
  87: 17x14+2928+1044 2936.2,1051.0 133 srgb(0,0,0)
  235: 15x13+4934+2377 4940.7,2382.6 98 srgb(0,0,0)
  214: 11x15+4335+2217 4339.8,2225.2 94 srgb(0,0,0)
  34: 13x11+3846+689 3851.3,693.7 76 srgb(0,0,0)
Images/_DSC7315.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.6 4.21745e+07 srgb(0,0,0)
  6: 29x31+4773+943 4787.0,957.9 682 srgb(255,255,255)
  9: 29x31+3984+1214 3997.9,1229.1 649 srgb(255,255,255)
  14: 27x26+4745+1662 4758.0,1673.6 508 srgb(255,255,255)
  15: 26x26+5026+1665 5038.8,1677.4 483 srgb(255,255,255)
  22: 28x23+4905+2081 4918.3,2092.1 482 srgb(255,255,255)
  12: 10x12+5137+1605 5141.8,1610.7 85 srgb(255,255,255)
Images/_DSC7315.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.2,2651.8 4.21646e+07 srgb(0,0,0)
  104: 36x36+5058+1972 5075.0,1988.9 924 srgb(0,0,0)
  100: 37x35+5465+1787 5482.7,1804.2 877 srgb(0,0,0)
  40: 35x35+5310+1482 5326.7,1498.7 854 srgb(0,0,0)
  17: 33x35+4186+1040 4201.8,1056.9 830 srgb(0,0,0)
  139: 35x32+5628+2401 5645.2,2416.9 783 srgb(0,0,0)
  56: 35x30+5413+1627 5431.4,1641.6 739 srgb(0,0,0)
  103: 47x47+5052+1965 5075.1,1988.1 721 srgb(255,255,255)
  22: 42x43+4996+1105 5014.2,1127.3 715 srgb(255,255,255)
  98: 46x45+5461+1782 5483.8,1804.0 692 srgb(255,255,255)
  48: 47x42+5408+1621 5430.7,1640.8 690 srgb(255,255,255)
  9: 41x41+4582+925 4602.0,945.0 678 srgb(255,255,255)
  16: 44x44+4180+1036 4201.3,1057.9 673 srgb(255,255,255)
  39: 47x43+5304+1477 5326.7,1498.5 639 srgb(255,255,255)
  137: 44x42+5624+2397 5644.6,2418.0 638 srgb(255,255,255)
  19: 41x40+5104+1093 5125.2,1112.6 637 srgb(255,255,255)
  24: 29x32+5004+1111 5017.7,1125.0 582 srgb(0,0,0)
  20: 27x30+5111+1097 5123.1,1111.8 573 srgb(0,0,0)
  11: 26x29+4589+930 4601.8,943.9 543 srgb(0,0,0)
  37: 9x9+157+1434 160.9,1438.0 67 srgb(255,255,255)
Images/_DSC7315.JPG, red, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.6,2651.5 4.21729e+07 srgb(0,0,0)
  32: 41x38+2993+1605 3013.5,1623.3 801 srgb(255,255,255)
  55: 40x40+3280+1712 3300.0,1731.7 766 srgb(255,255,255)
  107: 35x36+3279+3832 3296.4,3848.6 752 srgb(255,255,255)
  73: 41x40+3937+2563 3957.5,2583.0 734 srgb(255,255,255)
  74: 27x26+3944+2570 3956.8,2583.2 482 srgb(0,0,0)
  56: 26x25+3287+1720 3299.1,1731.7 418 srgb(0,0,0)
  34: 22x24+3003+1611 3013.2,1621.8 354 srgb(0,0,0)
  108: 18x19+3287+3841 3296.4,3850.3 214 srgb(0,0,0)
Images/_DSC7315.JPG, green, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.4,2652.4 4.21453e+07 srgb(0,0,0)
  55: 47x44+3079+805 3101.3,826.9 1252 srgb(255,255,255)
  208: 40x40+5624+2200 5644.1,2219.4 1247 srgb(255,255,255)
  25: 40x43+3412+665 3431.9,685.9 1244 srgb(255,255,255)
  232: 44x40+4920+2364 4942.0,2382.8 1236 srgb(255,255,255)
  20: 41x41+3584+632 3603.8,652.3 1230 srgb(255,255,255)
  151: 40x42+5370+1806 5389.9,1827.0 1223 srgb(255,255,255)
  84: 43x44+2916+1030 2937.8,1051.2 1219 srgb(255,255,255)
  190: 47x46+3231+2073 3254.3,2096.2 1205 srgb(255,255,255)
  26: 41x44+3831+672 3850.5,693.5 1195 srgb(255,255,255)
  204: 42x44+4590+2168 4610.4,2189.9 1194 srgb(255,255,255)
  269: 41x41+2529+2825 2548.5,2845.4 1192 srgb(255,255,255)
  76: 40x40+3345+944 3364.2,963.1 1185 srgb(255,255,255)
  94: 41x45+3908+1112 3927.6,1134.4 1173 srgb(255,255,255)
  69: 39x40+4710+861 4728.7,880.3 1160 srgb(255,255,255)
  46: 38x40+3240+728 3258.4,747.6 1153 srgb(255,255,255)
  175: 40x40+5607+2017 5626.3,2036.5 1140 srgb(255,255,255)
  181: 45x42+2450+2042 2471.8,2063.6 1131 srgb(255,255,255)
  210: 41x40+4320+2206 4339.8,2225.2 1126 srgb(255,255,255)
  146: 43x42+2983+1784 3004.3,1805.2 1122 srgb(255,255,255)
  158: 37x37+5580+1840 5597.9,1857.7 1077 srgb(255,255,255)
  74: 35x39+4770+939 4787.0,958.0 1051 srgb(0,0,0)
  101: 34x39+3982+1210 3998.3,1228.9 982 srgb(0,0,0)
  127: 34x34+5022+1662 5038.3,1678.7 876 srgb(0,0,0)
  125: 34x34+4742+1657 4758.1,1673.0 866 srgb(0,0,0)
  71: 34x34+3052+912 3068.2,929.2 851 srgb(255,255,255)
  73: 45x46+4765+936 4787.1,958.7 465 srgb(255,255,255)
  100: 44x46+3977+1206 3998.2,1228.2 454 srgb(255,255,255)
  195: 26x23+3242+2085 3254.3,2096.3 378 srgb(0,0,0)
  191: 41x40+4899+2073 4920.4,2091.7 315 srgb(255,255,255)
  126: 40x40+5019+1659 5039.0,1678.0 314 srgb(255,255,255)
  185: 21x24+2463+2052 2472.5,2061.8 285 srgb(0,0,0)
  124: 40x39+4738+1654 4758.3,1673.0 266 srgb(255,255,255)
  121: 35x34+5125+1594 5142.6,1611.9 236 srgb(255,255,255)
  148: 20x20+2993+1795 3003.1,1804.2 223 srgb(0,0,0)
  95: 22x18+3919+1123 3928.9,1133.4 197 srgb(0,0,0)
  59: 19x17+3091+819 3100.0,827.1 152 srgb(0,0,0)
  205: 15x15+4603+2184 4610.5,2191.0 140 srgb(0,0,0)
  87: 17x14+2928+1044 2936.2,1051.0 133 srgb(0,0,0)
  235: 15x13+4934+2377 4940.7,2382.6 98 srgb(0,0,0)
  214: 11x15+4335+2217 4339.8,2225.2 94 srgb(0,0,0)
  34: 13x11+3846+689 3851.3,693.7 76 srgb(0,0,0)
Images/_DSC7315.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.6 4.21745e+07 srgb(0,0,0)
  6: 29x31+4773+943 4787.0,957.9 682 srgb(255,255,255)
  9: 29x31+3984+1214 3997.9,1229.1 649 srgb(255,255,255)
  14: 27x26+4745+1662 4758.0,1673.6 508 srgb(255,255,255)
  15: 26x26+5026+1665 5038.8,1677.4 483 srgb(255,255,255)
  22: 28x23+4905+2081 4918.3,2092.1 482 srgb(255,255,255)
  12: 10x12+5137+1605 5141.8,1610.7 85 srgb(255,255,255)
Images/_DSC7315.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.2,2651.8 4.21646e+07 srgb(0,0,0)
  104: 36x36+5058+1972 5075.0,1988.9 924 srgb(0,0,0)
  100: 37x35+5465+1787 5482.7,1804.2 877 srgb(0,0,0)
  40: 35x35+5310+1482 5326.7,1498.7 854 srgb(0,0,0)
  17: 33x35+4186+1040 4201.8,1056.9 830 srgb(0,0,0)
  139: 35x32+5628+2401 5645.2,2416.9 783 srgb(0,0,0)
  56: 35x30+5413+1627 5431.4,1641.6 739 srgb(0,0,0)
  103: 47x47+5052+1965 5075.1,1988.1 721 srgb(255,255,255)
  22: 42x43+4996+1105 5014.2,1127.3 715 srgb(255,255,255)
  98: 46x45+5461+1782 5483.8,1804.0 692 srgb(255,255,255)
  48: 47x42+5408+1621 5430.7,1640.8 690 srgb(255,255,255)
  9: 41x41+4582+925 4602.0,945.0 678 srgb(255,255,255)
  16: 44x44+4180+1036 4201.3,1057.9 673 srgb(255,255,255)
  39: 47x43+5304+1477 5326.7,1498.5 639 srgb(255,255,255)
  137: 44x42+5624+2397 5644.6,2418.0 638 srgb(255,255,255)
  19: 41x40+5104+1093 5125.2,1112.6 637 srgb(255,255,255)
  24: 29x32+5004+1111 5017.7,1125.0 582 srgb(0,0,0)
  20: 27x30+5111+1097 5123.1,1111.8 573 srgb(0,0,0)
  11: 26x29+4589+930 4601.8,943.9 543 srgb(0,0,0)
  37: 9x9+157+1434 160.9,1438.0 67 srgb(255,255,255)
Images/_DSC7315.JPG, red, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.6,2651.5 4.21729e+07 srgb(0,0,0)
  32: 41x38+2993+1605 3013.5,1623.3 801 srgb(255,255,255)
  55: 40x40+3280+1712 3300.0,1731.7 766 srgb(255,255,255)
  107: 35x36+3279+3832 3296.4,3848.6 752 srgb(255,255,255)
  73: 41x40+3937+2563 3957.5,2583.0 734 srgb(255,255,255)
  74: 27x26+3944+2570 3956.8,2583.2 482 srgb(0,0,0)
  56: 26x25+3287+1720 3299.1,1731.7 418 srgb(0,0,0)
  34: 22x24+3003+1611 3013.2,1621.8 354 srgb(0,0,0)
  108: 18x19+3287+3841 3296.4,3850.3 214 srgb(0,0,0)
Images/_DSC7315.JPG, green, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.4,2652.4 4.21453e+07 srgb(0,0,0)
  55: 47x44+3079+805 3101.3,826.9 1252 srgb(255,255,255)
  208: 40x40+5624+2200 5644.1,2219.4 1247 srgb(255,255,255)
  25: 40x43+3412+665 3431.9,685.9 1244 srgb(255,255,255)
  232: 44x40+4920+2364 4942.0,2382.8 1236 srgb(255,255,255)
  20: 41x41+3584+632 3603.8,652.3 1230 srgb(255,255,255)
  151: 40x42+5370+1806 5389.9,1827.0 1223 srgb(255,255,255)
  84: 43x44+2916+1030 2937.8,1051.2 1219 srgb(255,255,255)
  190: 47x46+3231+2073 3254.3,2096.2 1205 srgb(255,255,255)
  26: 41x44+3831+672 3850.5,693.5 1195 srgb(255,255,255)
  204: 42x44+4590+2168 4610.4,2189.9 1194 srgb(255,255,255)
  269: 41x41+2529+2825 2548.5,2845.4 1192 srgb(255,255,255)
  76: 40x40+3345+944 3364.2,963.1 1185 srgb(255,255,255)
  94: 41x45+3908+1112 3927.6,1134.4 1173 srgb(255,255,255)
  69: 39x40+4710+861 4728.7,880.3 1160 srgb(255,255,255)
  46: 38x40+3240+728 3258.4,747.6 1153 srgb(255,255,255)
  175: 40x40+5607+2017 5626.3,2036.5 1140 srgb(255,255,255)
  181: 45x42+2450+2042 2471.8,2063.6 1131 srgb(255,255,255)
  210: 41x40+4320+2206 4339.8,2225.2 1126 srgb(255,255,255)
  146: 43x42+2983+1784 3004.3,1805.2 1122 srgb(255,255,255)
  158: 37x37+5580+1840 5597.9,1857.7 1077 srgb(255,255,255)
  74: 35x39+4770+939 4787.0,958.0 1051 srgb(0,0,0)
  101: 34x39+3982+1210 3998.3,1228.9 982 srgb(0,0,0)
  127: 34x34+5022+1662 5038.3,1678.7 876 srgb(0,0,0)
  125: 34x34+4742+1657 4758.1,1673.0 866 srgb(0,0,0)
  71: 34x34+3052+912 3068.2,929.2 851 srgb(255,255,255)
  73: 45x46+4765+936 4787.1,958.7 465 srgb(255,255,255)
  100: 44x46+3977+1206 3998.2,1228.2 454 srgb(255,255,255)
  195: 26x23+3242+2085 3254.3,2096.3 378 srgb(0,0,0)
  191: 41x40+4899+2073 4920.4,2091.7 315 srgb(255,255,255)
  126: 40x40+5019+1659 5039.0,1678.0 314 srgb(255,255,255)
  185: 21x24+2463+2052 2472.5,2061.8 285 srgb(0,0,0)
  124: 40x39+4738+1654 4758.3,1673.0 266 srgb(255,255,255)
  121: 35x34+5125+1594 5142.6,1611.9 236 srgb(255,255,255)
  148: 20x20+2993+1795 3003.1,1804.2 223 srgb(0,0,0)
  95: 22x18+3919+1123 3928.9,1133.4 197 srgb(0,0,0)
  59: 19x17+3091+819 3100.0,827.1 152 srgb(0,0,0)
  205: 15x15+4603+2184 4610.5,2191.0 140 srgb(0,0,0)
  87: 17x14+2928+1044 2936.2,1051.0 133 srgb(0,0,0)
  235: 15x13+4934+2377 4940.7,2382.6 98 srgb(0,0,0)
  214: 11x15+4335+2217 4339.8,2225.2 94 srgb(0,0,0)
  34: 13x11+3846+689 3851.3,693.7 76 srgb(0,0,0)
Images/_DSC7315.JPG, white, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.5,2651.6 4.21745e+07 srgb(0,0,0)
  6: 29x31+4773+943 4787.0,957.9 682 srgb(255,255,255)
  9: 29x31+3984+1214 3997.9,1229.1 649 srgb(255,255,255)
  14: 27x26+4745+1662 4758.0,1673.6 508 srgb(255,255,255)
  15: 26x26+5026+1665 5038.8,1677.4 483 srgb(255,255,255)
  22: 28x23+4905+2081 4918.3,2092.1 482 srgb(255,255,255)
  12: 10x12+5137+1605 5141.8,1610.7 85 srgb(255,255,255)
Images/_DSC7315.JPG, blue, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.2,2651.8 4.21646e+07 srgb(0,0,0)
  104: 36x36+5058+1972 5075.0,1988.9 924 srgb(0,0,0)
  100: 37x35+5465+1787 5482.7,1804.2 877 srgb(0,0,0)
  40: 35x35+5310+1482 5326.7,1498.7 854 srgb(0,0,0)
  17: 33x35+4186+1040 4201.8,1056.9 830 srgb(0,0,0)
  139: 35x32+5628+2401 5645.2,2416.9 783 srgb(0,0,0)
  56: 35x30+5413+1627 5431.4,1641.6 739 srgb(0,0,0)
  103: 47x47+5052+1965 5075.1,1988.1 721 srgb(255,255,255)
  22: 42x43+4996+1105 5014.2,1127.3 715 srgb(255,255,255)
  98: 46x45+5461+1782 5483.8,1804.0 692 srgb(255,255,255)
  48: 47x42+5408+1621 5430.7,1640.8 690 srgb(255,255,255)
  9: 41x41+4582+925 4602.0,945.0 678 srgb(255,255,255)
  16: 44x44+4180+1036 4201.3,1057.9 673 srgb(255,255,255)
  39: 47x43+5304+1477 5326.7,1498.5 639 srgb(255,255,255)
  137: 44x42+5624+2397 5644.6,2418.0 638 srgb(255,255,255)
  19: 41x40+5104+1093 5125.2,1112.6 637 srgb(255,255,255)
  24: 29x32+5004+1111 5017.7,1125.0 582 srgb(0,0,0)
  20: 27x30+5111+1097 5123.1,1111.8 573 srgb(0,0,0)
  11: 26x29+4589+930 4601.8,943.9 543 srgb(0,0,0)
  37: 9x9+157+1434 160.9,1438.0 67 srgb(255,255,255)
Images/_DSC7315.JPG, red, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.6,2651.5 4.21729e+07 srgb(0,0,0)
  32: 41x38+2993+1605 3013.5,1623.3 801 srgb(255,255,255)
  55: 40x40+3280+1712 3300.0,1731.7 766 srgb(255,255,255)
  107: 35x36+3279+3832 3296.4,3848.6 752 srgb(255,255,255)
  73: 41x40+3937+2563 3957.5,2583.0 734 srgb(255,255,255)
  74: 27x26+3944+2570 3956.8,2583.2 482 srgb(0,0,0)
  56: 26x25+3287+1720 3299.1,1731.7 418 srgb(0,0,0)
  34: 22x24+3003+1611 3013.2,1621.8 354 srgb(0,0,0)
  108: 18x19+3287+3841 3296.4,3850.3 214 srgb(0,0,0)
Images/_DSC7315.JPG, green, Objects (id: bounding-box centroid area mean-color):
  0: 7952x5304+0+0 3975.4,2652.4 4.21453e+07 srgb(0,0,0)
  55: 47x44+3079+805 3101.3,826.9 1252 srgb(255,255,255)
  208: 40x40+5624+2200 5644.1,2219.4 1247 srgb(255,255,255)
  25: 40x43+3412+665 3431.9,685.9 1244 srgb(255,255,255)
  232: 44x40+4920+2364 4942.0,2382.8 1236 srgb(255,255,255)
  20: 41x41+3584+632 3603.8,652.3 1230 srgb(255,255,255)
